# Строки: слово | транскрипция | перевод
# Транскрипция — как читается русскими буквами. Можно не писать: тогда слово
# будет показано без неё. Добавляй свои слова, интервальное повторение подхватит.
accurate | экьюрэт | точный
dark | дарк | тёмный
difficult | дификэлт | трудный
easy | иизи | лёгкий
empty | эмпти | пустой
expensive | икспэнсив | дорогой
fast | фаст | быстрый
full | фул | полный
happy | хэпи | счастливый
hard | хард | трудный
hungry | хангри | голодный
interesting | интрэстинг | интересный
lazy | лэйзи | ленивый
loud | лауд | громкий
necessary | нэсэсэри | необходимый
old | олд | старый
quiet | куайэт | тихий
rich | рич | богатый
sad | сэд | грустный
slow | слоу | медленный
small | смол | маленький
strange | стрэйндж | странный
strong | стронг | сильный
thirsty | сёрсти | хочется пить
tired | тайэд | уставший
warm | уорм | тёплый
weak | уик | слабый
young | янг | молодой
# --- наречия и другое ---
always | олвэйз | всегда
early | ёли | рано
everywhere | эвриуээ | везде
here | хиэ | здесь
never | нэвэ | никогда
often | офэн | часто
together | тэгэдэ | вместе
usually | южуэли | обычно
yesterday | йестэдэй | вчера
# --- общение: минимальный запас для разговора ---
hello | хэлоу | привет
goodbye | гудбай | до свидания
please | плиз | пожалуйста
sorry | сори | извините
thanks | сэнкс | спасибо
excuse me | икскьюз ми | извините
where | уээ | где
when | уэн | когда
who | ху | кто
why | уай | почему
what | уот | что
how | хау | как
which | уич | какой
maybe | мэйби | может быть
sure | шуэ | конечно
right | райт | верно
wrong | ронг | неверно
ask | аск | спрашивать
answer | ансэ | отвечать
mean | мин | иметь в виду
know | ноу | знать
say | сэй | сказать
like | лайк | нравиться
love | лав | любить
need | нид | нуждаться
today | тудэй | сегодня
tomorrow | тумороу | завтра
now | нау | сейчас
later | лэйтэ | позже
morning | монинг | утро
day | дэй | день
hour | ауэ | час
minute | минит | минута
house | хаус | дом
shop | шоп | магазин
food | фуд | еда
drink | дринк | напиток
evening | ивнинг | вечер
soon | сун | скоро
almost | олмоуст | почти
enough | инаф | достаточно
anyway | эниуэй | в любом случае
# --- слова из логов (systemd/docker/terminal) ---
error | эрэ | ошибка
failed | фэйлд | не удалось
success | сэксес | успех
successful | сэксесфэл | успешный
status | стэтус | статус
started | статед | запущено
stopped | стопт | остановлено
running | ранинг | работает
exited | экситэд | завершился
crashed | крэшт | аварийно упал
killed | килд | принудительно завершён
timeout | таймаут | тайм-аут
unable | анэйбл | невозможно
not found | нот фаунд | не найдено
denied | динайд | отказано
permission | пэмишн | разрешение, права
refused | рифьюзд | отклонено
blocked | блокат | заблокировано
ignored | игнорд | проигнорировано
skipped | скипт | пропущено
connection | конэкшн | соединение
connected | конэктэд | подключено
disconnected | дисконэктэд | отключено
host | хоуст | узел, хост
port | порт | порт
address | эдрэс | адрес
network | нэтуок | сеть
interface | интэфэйс | интерфейс
packet | пэкет | пакет
latency | лэйтэнси | задержка
bandwidth | бэндвидс | пропускная способность
disk | диск | диск
volume | волюм | том
partition | партишн | раздел
mount | маунт | монтировать
filesystem | файлсистэм | файловая система
corrupt | коррапт | повреждён
memory | мэмори | память
process | проусес | процесс
thread | срэд | поток
daemon | димэн | фоновый процесс
kernel | кёнэл | ядро
module | модьюл | модуль
driver | драйвэ | драйвер
cache | кэш | кеш
load | лоуд | нагрузка
free | фри | свободно
usage | ьюзидж | использование
total | тоутл | итого
server | сэвэ | сервер
client | клайэнт | клиент
request | риквэст | запрос
response | риспонс | ответ
created | криэйтэд | создано
removed | римувд | удалено
detected | дитектэд | обнаружено
verified | верифайд | проверено
attempted | этэмптэд | предпринято
aborted | аботед | прервано
# --- терминал: слова команд и опций ---
terminal | тёминэл | терминал
command | комманд | команда
shell | шэл | командная строка
prompt | промпт | приглашение ввода
directory | дирэктэри | папка, каталог
file | файл | файл
path | пас | путь
root | рут | корневой (каталог)
home | хоум | домашний каталог
current | карэнт | текущий
parent | пээрэнт | родительский
hidden | хидн | скрытый
link | линк | ссылка
option | опшн | опция, параметр
flag | флаг | ключ, флаг
argument | аргьюмэнт | аргумент
value | вэлю | значение
default | дифолт | по умолчанию
recursive | рикёсив | рекурсивный
verbose | вёбоус | подробный вывод
force | форс | принудительно
output | аутпут | вывод
input | инпут | ввод
list | лист | вывести список
print | принт | распечатать
search | сёч | искать
filter | филтэ | фильтровать
sort | сот | сортировать
copy | копи | копировать
delete | дилит | удалять
execute | эксэкьют | выполнять
install | инстол | устанавливать
upgrade | апгрэйд | обновить версию
edit | эдит | редактировать
compress | кэмпрэс | сжимать
extract | экстрэкт | извлекать
archive | аркайв | архив
redirect | ридэрэкт | перенаправлять
pipe | пайп | конвейер
wildcard | уайлдкард | маска подстановки
background | бэграунд | фоновый процесс
foreground | фогроунд | передний план
session | сэшн | сессия
login | логин | вход в систему
logout | логаут | выход из системы
boot | бут | загрузка системы
shutdown | шатдаун | выключение
reboot | рибут | перезагрузка
backup | бэкап | резервная копия
snapshot | снапшот | снимок состояния
log | лог | журнал
trace | трэйс | трассировка
debug | дэбаг | отладка
release | рилиз | выпуск версии
package | пэкидж | пакет программ
repository | репозэтори | репозиторий
dependency | дипэндэнси | зависимость
image | имэйдж | образ
container | кэнтэйнэ | контейнер
bridge | бридж | сетевой мост
firewall | файавол | межсетевой экран
proxy | прокси | прокси-сервер
buffer | бафэ | буфер
stack | стэк | стек
pointer | пойнтэ | указатель
variable | вэриэйбл | переменная
target | тагэт | целевой
source | сорс | исходный
destination | дэстэнэйшн | назначение
temporary | темпэрери | временный
permanent | пёманэнт | постоянный
readonly | ридоунли | только для чтения
enabled | энэйблд | включено
disabled | дисэйблд | выключено
masked | маскт | замаскирован
inactive | инактив | неактивен
dead | дэд | мёртв, упал
loaded | лоудэд | загружен
listening | лиснин | слушает порт
pending | пэндинг | ожидает в очереди
queued | кьюд | в очереди
unknown | анноун | неизвестно
valid | вэлид | корректный
invalid | инвалид | недействительный
expected | икспектэд | ожидалось
unexpected | аникспектэд | неожиданный
# --- терминал: частые фразы из вывода ---
command not found | комманд нот фаунд | команда не найдена
no such file | ноу сач файл | нет такого файла
not a directory | нот дирэктэри | не каталог
file exists | файл эксистс | файл уже есть
connection refused | конэшн рифьюзд | соединение отклонено
no route to host | ноу роут хоуст | нет маршрута к узлу
address in use | адрэс ин юз | адрес занят
out of memory | аут оф мэмори | память кончилась
no space left | ноу спейс лефт | нет места
invalid argument | инвалид аргьюмэнт | неверный аргумент
broken pipe | броукн пайп | разорванный канал
segmentation fault | сэгмэнтэйшн фолт | ошибка сегментации
core dumped | кор дампт | аварийный дамп создан
operation not permitted | опэрэйшн нот пэмитэд | действие запрещено
exit code | экзит коуд | код выхода
# --- терминал: команда | | что делает ---
# транскрипция пустая — здесь учим синтаксис, не произношение
ls | | список файлов
ls -la | | список со скрытыми
pwd | | где я сейчас
cd .. | | вверх на папку
cd - | | назад в прошлую папку
sudo !! | | повторить команду от рута
man команда | | справка по команде
history | | история команд
history | grep | | найти свою команду
cat файл | | показать файл
cat >> файл | | дописать в конец файла
less файл | | листать файл
tail -f | | следить за файлом
cp -r | | копия папки целиком
cp -a | | копия с правами
mv | | перенести файл
rm -f | | удалить без вопросов
rm -r | | удалить папку
mkdir -p | | создать вложенные папки
chmod +x | | сделать исполняемым
chmod 755 | | права для владелец/группа/все
chown | | сменить владельца
grep слово | | искать по тексту
grep -i | | искать без учёта регистра
grep -r | | искать по всем файлам папки
grep -c | | посчитать совпадения
grep -v | | все строки, КРОМЕ совпадения
sort -n | | сортировать по числам
uniq -c | | сгруппировать и посчитать
find <каталог> | | поиск файлов
find -name '*.x' | | поиск по имени
df -h | | место на дисках
du -sh | | размер папки
free -h | | память и своп
ps aux | | все процессы
ps aux | grep | | найти процесс
kill PID | | завершить процесс по номеру
systemctl status | | состояние сервиса
systemctl enable --now | | включить и запустить сразу
journalctl -u | | лог конкретного сервиса
journalctl -f | | следить за логом в реальном времени
docker ps | | запущенные контейнеры
docker exec -it | | зайти внутрь контейнера
docker compose up -d | | поднять сервис в фоне
rsync -a | | синхронизация с правами
rsync --link-dest | | прирастающий бэкап хардлинками
tar -czf archive.tar.gz | | запаковать папку
tar -xzf archive.tar.gz | | распаковать архив
ssh user@host | | зайти по ssh
scp файл user@host: | | скопировать файл по сети
curl -o файл URL | | скачать файл
curl -I URL | | посмотреть только заголовки
ping -c | | проверить связь ответами
ip a | | сетевые интерфейсы
ss -tlnp | | кто слушает порты
lsof -i | | что держит порт
